Permutation,New Business Acquisition Employees,Account Manager Employees,Support Employees,Monthly Revenue,Net Monthly Revenue,Revenue Lost to Churn,Churn Rate
18-1-1,18,1,1,113761.2903803193,102661.2903803193,11100
17-1-2,17,1,2,113361.2903803193,102361.2903803193,11000
16-1-3,16,1,3,112861.2903803193,101861.2903803193,11000
15-1-4,15,1,4,112361.2903803193,101361.2903803193,11000
14-1-5,14,1,5,111861.2903803193,100861.2903803193,11000
13-1-6,13,1,6,111361.2903803193,100361.2903803193,11000
12-1-7,12,1,7,110861.2903803193,99861.2903803193,11000
11-1-8,11,1,8,110461.2903803193,99561.2903803193,10900
10-1-9,10,1,9,109961.2903803193,99061.2903803193,10900
9-1-10,9,1,10,109461.2903803193,98561.2903803193,10900
8-1-11,8,1,11,108961.2903803193,98061.2903803193,10900
7-1-12,7,1,12,108461.2903803193,97561.2903803193,10900
17-2-1,17,2,1,108376.35544159923,97276.35544159923,11100
6-1-13,6,1,13,107961.2903803193,97061.2903803193,10900
16-2-2,16,2,2,107976.35544159923,96976.35544159923,11000
5-1-14,5,1,14,107561.2903803193,96761.2903803193,10800
15-2-3,15,2,3,107476.35544159923,96476.35544159923,11000
4-1-15,4,1,15,107061.2903803193,96261.2903803193,10800
14-2-4,14,2,4,106976.35544159923,95976.35544159923,11000
3-1-16,3,1,16,106561.2903803193,95761.2903803193,10800
13-2-5,13,2,5,106476.35544159923,95476.35544159923,11000
2-1-17,2,1,17,106061.2903803193,95261.2903803193,10800
12-2-6,12,2,6,105976.35544159923,94976.35544159923,11000
1-1-18,1,1,18,105561.2903803193,94761.2903803193,10800
11-2-7,11,2,7,105476.35544159923,94476.35544159923,11000
10-2-8,10,2,8,105076.35544159923,94176.35544159923,10900
9-2-9,9,2,9,104576.35544159923,93676.35544159923,10900
8-2-10,8,2,10,104076.35544159923,93176.35544159923,10900
7-2-11,7,2,11,103576.35544159923,92676.35544159923,10900
6-2-12,6,2,12,103076.35544159923,92176.35544159923,10900
16-3-1,16,3,1,102877.56162215152,91777.56162215152,11100
5-2-13,5,2,13,102576.35544159923,91676.35544159923,10900
15-3-2,15,3,2,102477.56162215152,91477.56162215152,11000
4-2-14,4,2,14,102176.35544159923,91376.35544159923,10800
14-3-3,14,3,3,101977.56162215152,90977.56162215152,11000
3-2-15,3,2,15,101676.35544159923,90876.35544159923,10800
13-3-4,13,3,4,101477.56162215152,90477.56162215152,11000
2-2-16,2,2,16,101176.35544159923,90376.35544159923,10800
12-3-5,12,3,5,100977.56162215152,89977.56162215152,11000
1-2-17,1,2,17,100676.35544159923,89876.35544159923,10800
11-3-6,11,3,6,100477.56162215152,89477.56162215152,11000
10-3-7,10,3,7,99977.56162215152,88977.56162215152,11000
9-3-8,9,3,8,99577.56162215152,88677.56162215152,10900
8-3-9,8,3,9,99077.56162215152,88177.56162215152,10900
7-3-10,7,3,10,98577.56162215152,87677.56162215152,10900
6-3-11,6,3,11,98077.56162215152,87177.56162215152,10900
5-3-12,5,3,12,97577.56162215152,86677.56162215152,10900
15-4-1,15,4,1,97377.57426605497,86277.57426605497,11100
4-3-13,4,3,13,97077.56162215152,86177.56162215152,10900
14-4-2,14,4,2,96977.57426605497,85977.57426605497,11000
3-3-14,3,3,14,96677.56162215152,85877.56162215152,10800
13-4-3,13,4,3,96477.57426605497,85477.57426605497,11000
2-3-15,2,3,15,96177.56162215152,85377.56162215152,10800
12-4-4,12,4,4,95977.57426605497,84977.57426605497,11000
1-3-16,1,3,16,95677.56162215152,84877.56162215152,10800
11-4-5,11,4,5,95477.57426605497,84477.57426605497,11000
10-4-6,10,4,6,94977.57426605497,83977.57426605497,11000
9-4-7,9,4,7,94477.57426605497,83477.57426605497,11000
8-4-8,8,4,8,94077.57426605497,83177.57426605497,10900
7-4-9,7,4,9,93577.57426605497,82677.57426605497,10900
6-4-10,6,4,10,93077.57426605497,82177.57426605497,10900
5-4-11,5,4,11,92577.57426605497,81677.57426605497,10900
4-4-12,4,4,12,92077.57426605497,81177.57426605497,10900
14-5-1,14,5,1,91877.57439859591,80777.57439859591,11100
3-4-13,3,4,13,91577.57426605497,80677.57426605497,10900
13-5-2,13,5,2,91477.57439859591,80477.57439859591,11000
2-4-14,2,4,14,91177.57426605497,80377.57426605497,10800
12-5-3,12,5,3,90977.57439859591,79977.57439859591,11000
1-4-15,1,4,15,90677.57426605497,79877.57426605497,10800
11-5-4,11,5,4,90477.57439859591,79477.57439859591,11000
10-5-5,10,5,5,89977.57439859591,78977.57439859591,11000
9-5-6,9,5,6,89477.57439859591,78477.57439859591,11000
8-5-7,8,5,7,88977.57439859591,77977.57439859591,11000
7-5-8,7,5,8,88577.57439859591,77677.57439859591,10900
6-5-9,6,5,9,88077.57439859591,77177.57439859591,10900
5-5-10,5,5,10,87577.57439859591,76677.57439859591,10900
4-5-11,4,5,11,87077.57439859591,76177.57439859591,10900
3-5-12,3,5,12,86577.57439859591,75677.57439859591,10900
13-6-1,13,6,1,86377.57439998527,75277.57439998527,11100
2-5-13,2,5,13,86077.57439859591,75177.57439859591,10900
12-6-2,12,6,2,85977.57439998527,74977.57439998527,11000
1-5-14,1,5,14,85677.57439859591,74877.57439859591,10800
11-6-3,11,6,3,85477.57439998527,74477.57439998527,11000
10-6-4,10,6,4,84977.57439998527,73977.57439998527,11000
9-6-5,9,6,5,84477.57439998527,73477.57439998527,11000
8-6-6,8,6,6,83977.57439998527,72977.57439998527,11000
7-6-7,7,6,7,83477.57439998527,72477.57439998527,11000
6-6-8,6,6,8,83077.57439998527,72177.57439998527,10900
5-6-9,5,6,9,82577.57439998527,71677.57439998527,10900
4-6-10,4,6,10,82077.57439998527,71177.57439998527,10900
3-6-11,3,6,11,81577.57439998527,70677.57439998527,10900
2-6-12,2,6,12,81077.57439998527,70177.57439998527,10900
12-7-1,12,7,1,80877.57439999984,69777.57439999984,11100
1-6-13,1,6,13,80577.57439998527,69677.57439998527,10900
11-7-2,11,7,2,80477.57439999984,69477.57439999984,11000
10-7-3,10,7,3,79977.57439999984,68977.57439999984,11000
9-7-4,9,7,4,79477.57439999984,68477.57439999984,11000
8-7-5,8,7,5,78977.57439999984,67977.57439999984,11000
7-7-6,7,7,6,78477.57439999984,67477.57439999984,11000
6-7-7,6,7,7,77977.57439999984,66977.57439999984,11000
5-7-8,5,7,8,77577.57439999984,66677.57439999984,10900
4-7-9,4,7,9,77077.57439999984,66177.57439999984,10900
3-7-10,3,7,10,76577.57439999984,65677.57439999984,10900
2-7-11,2,7,11,76077.57439999984,65177.57439999984,10900
1-7-12,1,7,12,75577.57439999984,64677.57439999984,10900
11-8-1,11,8,1,75377.5744,64277.5744,11100
10-8-2,10,8,2,74977.5744,63977.5744,11000
9-8-3,9,8,3,74477.5744,63477.5744,11000
8-8-4,8,8,4,73977.5744,62977.5744,11000
7-8-5,7,8,5,73477.5744,62477.5744,11000
6-8-6,6,8,6,72977.5744,61977.5744,11000
5-8-7,5,8,7,72477.5744,61477.5744,11000
4-8-8,4,8,8,72077.5744,61177.5744,10900
3-8-9,3,8,9,71577.5744,60677.5744,10900
2-8-10,2,8,10,71077.5744,60177.5744,10900
1-8-11,1,8,11,70577.5744,59677.5744,10900
10-9-1,10,9,1,69877.5744,58777.5744,11100
9-9-2,9,9,2,69477.5744,58477.5744,11000
8-9-3,8,9,3,68977.5744,57977.5744,11000
7-9-4,7,9,4,68477.5744,57477.5744,11000
6-9-5,6,9,5,67977.5744,56977.5744,11000
5-9-6,5,9,6,67477.5744,56477.5744,11000
4-9-7,4,9,7,66977.5744,55977.5744,11000
3-9-8,3,9,8,66577.5744,55677.5744,10900
2-9-9,2,9,9,66077.5744,55177.5744,10900
1-9-10,1,9,10,65577.5744,54677.5744,10900
9-10-1,9,10,1,64377.5744,53277.5744,11100
8-10-2,8,10,2,63977.5744,52977.5744,11000
7-10-3,7,10,3,63477.5744,52477.5744,11000
6-10-4,6,10,4,62977.5744,51977.5744,11000
5-10-5,5,10,5,62477.5744,51477.5744,11000
4-10-6,4,10,6,61977.5744,50977.5744,11000
3-10-7,3,10,7,61477.5744,50477.5744,11000
2-10-8,2,10,8,61077.5744,50177.5744,10900
1-10-9,1,10,9,60577.5744,49677.5744,10900
8-11-1,8,11,1,58877.5744,47777.5744,11100
7-11-2,7,11,2,58477.5744,47477.5744,11000
6-11-3,6,11,3,57977.5744,46977.5744,11000
5-11-4,5,11,4,57477.5744,46477.5744,11000
4-11-5,4,11,5,56977.5744,45977.5744,11000
3-11-6,3,11,6,56477.5744,45477.5744,11000
2-11-7,2,11,7,55977.5744,44977.5744,11000
1-11-8,1,11,8,55577.5744,44677.5744,10900
7-12-1,7,12,1,53377.5744,42277.5744,11100
6-12-2,6,12,2,52977.5744,41977.5744,11000
5-12-3,5,12,3,52477.5744,41477.5744,11000
4-12-4,4,12,4,51977.5744,40977.5744,11000
3-12-5,3,12,5,51477.5744,40477.5744,11000
2-12-6,2,12,6,50977.5744,39977.5744,11000
1-12-7,1,12,7,50477.5744,39477.5744,11000
6-13-1,6,13,1,47877.5744,36777.5744,11100
5-13-2,5,13,2,47477.5744,36477.5744,11000
4-13-3,4,13,3,46977.5744,35977.5744,11000
3-13-4,3,13,4,46477.5744,35477.5744,11000
2-13-5,2,13,5,45977.5744,34977.5744,11000
1-13-6,1,13,6,45477.5744,34477.5744,11000
5-14-1,5,14,1,42377.5744,31277.574399999998,11100
4-14-2,4,14,2,41977.5744,30977.574399999998,11000
3-14-3,3,14,3,41477.5744,30477.574399999998,11000
2-14-4,2,14,4,40977.5744,29977.574399999998,11000
1-14-5,1,14,5,40477.5744,29477.574399999998,11000
