Permutation,New Business Acquisition Employees,Account Manager Employees,Support Employees,Monthly Revenue,Net Monthly Revenue,Revenue Lost to Churn,Churn Rate
18-1-1,18,1,1,115107.3222116598,104007.3222116598,11100
17-1-2,17,1,2,114607.3222116598,103507.3222116598,11100
16-1-3,16,1,3,114107.3222116598,103007.3222116598,11100
15-1-4,15,1,4,113707.3222116598,102707.3222116598,11000
14-1-5,14,1,5,113207.3222116598,102207.3222116598,11000
13-1-6,13,1,6,112707.3222116598,101707.3222116598,11000
12-1-7,12,1,7,112207.3222116598,101207.3222116598,11000
11-1-8,11,1,8,111707.3222116598,100707.3222116598,11000
10-1-9,10,1,9,111207.3222116598,100207.3222116598,11000
9-1-10,9,1,10,110807.3222116598,99907.3222116598,10900
8-1-11,8,1,11,110307.3222116598,99407.3222116598,10900
7-1-12,7,1,12,109807.3222116598,98907.3222116598,10900
17-2-1,17,2,1,109773.01589990288,98673.01589990288,11100
6-1-13,6,1,13,109307.3222116598,98407.3222116598,10900
16-2-2,16,2,2,109273.01589990288,98173.01589990288,11100
5-1-14,5,1,14,108807.3222116598,97907.3222116598,10900
15-2-3,15,2,3,108773.01589990288,97673.01589990288,11100
4-1-15,4,1,15,108307.3222116598,97407.3222116598,10900
14-2-4,14,2,4,108373.01589990288,97373.01589990288,11000
3-1-16,3,1,16,107907.3222116598,97107.3222116598,10800
13-2-5,13,2,5,107873.01589990288,96873.01589990288,11000
2-1-17,2,1,17,107407.3222116598,96607.3222116598,10800
12-2-6,12,2,6,107373.01589990288,96373.01589990288,11000
1-1-18,1,1,18,106907.3222116598,96107.3222116598,10800
11-2-7,11,2,7,106873.01589990288,95873.01589990288,11000
10-2-8,10,2,8,106373.01589990288,95373.01589990288,11000
9-2-9,9,2,9,105873.01589990288,94873.01589990288,11000
8-2-10,8,2,10,105473.01589990288,94573.01589990288,10900
7-2-11,7,2,11,104973.01589990288,94073.01589990288,10900
6-2-12,6,2,12,104473.01589990288,93573.01589990288,10900
